run,checkpoint,iteration,suite,seed,episode_count,episode_return_mean,episode_duration_mean,termination_rate,rotation_axis_speed_mean,rotation_axis_speed_abs_mean,rotation_positive_rate,rotation_reverse_rate,rotation_high_clip_rate,rotation_low_clip_rate,action_abs_mean,action_saturation_rate,target_saturation_rate,target_lower_saturation_rate,target_upper_saturation_rate,actor_hash_before,actor_hash_after,rank
2026-08-06_03-18-25_mujoco,model_10.pt,10,nominal,101,17749,-0.6520597172217338,0.5717448870358894,1.0,0.5768966297060252,0.5948364157229662,0.960751953125,0.039248046875,0.527138671875,0.004541015625,0.16359811704605817,0.0,0.00038665771484375,0.00014404296875,0.00024261474609375,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,5
2026-08-06_03-18-25_mujoco,model_10.pt,10,nominal,202,17723,-0.4755909441816847,0.572544151667325,1.0,0.5799316111952066,0.5974683155119419,0.962333984375,0.037666015625,0.531767578125,0.0045556640625,0.16357846615836025,0.0,0.00043121337890625,0.000189208984375,0.00024200439453125,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,5
2026-08-06_03-18-25_mujoco,model_10.pt,10,nominal,303,17754,-0.9433475426975175,0.5710375126732005,1.0,0.5817112853378057,0.5991080193966627,0.963525390625,0.036474609375,0.5317138671875,0.00458984375,0.1639029042236507,0.0,0.000380859375,0.0001318359375,0.0002490234375,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,5
2026-08-06_03-18-25_mujoco,model_10.pt,10,train_dr,101,16967,-0.5257679762870481,0.598267224612483,1.0,0.5289112924411893,0.5538995305448771,0.9190673828125,0.0809326171875,0.482060546875,0.0057861328125,0.15426962055265903,0.0,0.0005279541015625,0.00017425537109375,0.00035369873046875,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,5
2026-08-06_03-18-25_mujoco,model_10.pt,10,train_dr,202,17043,-0.802824553450201,0.5957753916563986,1.0,0.5339019515365362,0.5582061953097582,0.9207373046875,0.0792626953125,0.4859375,0.0055712890625,0.15462055221199988,0.0,0.00058319091796875,0.000162353515625,0.00042083740234375,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,5
2026-08-06_03-18-25_mujoco,model_10.pt,10,train_dr,303,16880,-0.8999234665833786,0.6016676540284361,1.0,0.5308739280328154,0.5544123262912035,0.9221923828125,0.0778076171875,0.485654296875,0.0053125,0.1545892010256648,1.220703125e-06,0.00050994873046875,0.00016937255859375,0.000340576171875,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,80c65595a4184cf3e1cef14b0d2686599d604011d669ec766fd8989d2662686e,5
2026-08-06_03-18-25_mujoco,model_20.pt,20,nominal,101,34327,-0.4137051956248292,0.2971567570716928,1.0,0.9986827613413334,1.0414695808291434,0.94087890625,0.05912109375,0.6568994140625,0.014931640625,0.3500597593933344,2.655029296875e-05,0.0003802490234375,0.000338134765625,4.21142578125e-05,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,4
2026-08-06_03-18-25_mujoco,model_20.pt,20,nominal,202,34251,-0.5380584597292265,0.29772415403929814,1.0,0.9983025258034468,1.039845123067498,0.941015625,0.058984375,0.6587158203125,0.0143994140625,0.34992897052317856,2.685546875e-05,0.0004620361328125,0.00042083740234375,4.119873046875e-05,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,4
2026-08-06_03-18-25_mujoco,model_20.pt,20,nominal,303,34314,-0.4361880193759298,0.2973713353150318,1.0,0.9968080893903971,1.038263173699379,0.94203125,0.05796875,0.658896484375,0.01359375,0.34986717816442253,2.13623046875e-05,0.00042022705078125,0.00038330078125,3.692626953125e-05,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,4
2026-08-06_03-18-25_mujoco,model_20.pt,20,train_dr,101,31248,-0.6258132936176375,0.32643369175627246,1.0,0.9097073247283697,0.958027943894267,0.8876123046875,0.1123876953125,0.594404296875,0.015859375,0.32009273864328863,4.57763671875e-06,0.00065032958984375,0.00033843994140625,0.0003118896484375,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,3f5dad3064fbc7f1b076114193c1eb9f0210d5dd6d111bdb5a31080d24611bdb,4
